# Reference time: 2020-04-15 08:48:05.557
#
# Each line represents a single HED count.
#
# tus -- time of the count, microsecond
# ttk -- submicrosecond time of the count, in units of 1/36e6 s (which means 1/36 of a microsecond)
# erg -- energy of the count in channel units
# dau -- DAU (detector assembly unit) of the count (there are four DAUs: 0, 1, 2, 3)
# det -- detector of the count within the DAU (each DAU has three detectors: 0, 1, 2)
# typ -- type of the count: 0 corresponds to NORMAL event, 1 corresponds to FAST event
#
#
#
#    tus    ttk     erg   dau  det  typ
#
-914484    10    1565    2    0    0 
-913912    23    1468    1    1    0 
-913912    28      46    1    0    0 
-913619     2      40    3    2    0 
-913369     3    1077    2    1    0 
-913118    17      32    2    1    0 
-913099     8      51    3    1    0 
-912662     1     441    3    0    0 
-911823    29    1025    1    2    0 
-911812     0    1852    0    2    0 
-911812     5     686    1    0    0 
-911690    15    1560    0    0    0 
-911690    18     137    2    2    0 
-911185     8     131    0    2    0 
-911122    31      24    0    1    0 
-910937    32      37    3    0    0 
-910727    20     278    0    1    0 
-910727    20      36    3    1    0 
-910727    23      31    1    1    0 
-910537    34     104    3    2    0 
-910537    35     357    1    0    0 
-910477    32     468    3    0    0 
-910460     5     141    0    2    0 
-910460     6     280    1    1    0 
-910460     6      51    2    2    0 
-910460     6      38    3    0    0 
-910389     5      61    3    2    0 
-910389     6    1701    2    0    0 
-910389    10     138    3    0    0 
-910389    11      75    0    2    0 
-910389    11     152    0    0    0 
-910389    11     525    3    1    0 
-910389    12     619    2    1    0 
-910389    13     215    1    1    0 
-910389    13      58    0    1    0 
-909996     4      21    2    2    0 
-909553    20      47    1    1    0 
-909447    30      37    1    0    0 
-908893    32     112    1    2    0 
-908394     8      32    2    2    0 
-908392     9    1472    1    0    0 
-907936    26      47    0    2    0 
-907936    27      28    2    0    0 
-907936    28      70    1    2    0 
-907930    20     140    1    0    0 
-907873     8     218    3    1    0 
-907043    29      52    0    0    0 
-906550     6      83    0    0    0 
-906550     6      93    0    1    0 
-905436    14     354    2    0    0 
-905436    15     146    2    2    0 
-905436    15     867    3    2    0 
-905436    15     338    2    1    0 
-905160    21     123    1    2    0 
-904639    23     140    3    2    0 
-904584    15      17    2    1    0 
-904298    10      20    2    0    0 
-904089    26      39    2    1    0 
-903862    21      36    0    2    0 
-903723     1      46    0    1    0 
-903421     5      18    2    1    0 
-903288    21      35    3    2    0 
-902938    23      26    0    0    0 
-902785    17      71    1    0    0 
-902467    21     396    3    1    0 
-902452    14      44    0    2    0 
-902324     6      43    1    1    0 
-902121     7    1199    2    2    0 
-901763    17      34    1    2    0 
-901713    22      55    1    2    0 
-901657    25      36    0    0    0 
-901147    33      23    0    0    0 
-900812    28      86    3    0    0 
-900578    11    1744    2    1    0 
-900578    11    1733    2    2    0 
-900578    12    1691    2    0    0 
-900578    17     111    3    2    0 
-900574    24      80    2    1    1 
-900426    23      76    2    2    0 
-900426    27      24    2    1    0 
-900019    19    1813    1    2    0 
-900019    24     459    3    0    0 
-900019    24      34    1    0    0 
-900019    25     157    1    1    0 
-899841     3     672    0    0    0 
-899841     4     775    0    1    0 
-899749     9    1588    2    2    0 
-899409    22     140    1    2    0 
-899080     3     578    1    1    0 
-899080     5      95    0    2    0 
-898893     8     143    1    0    0 
-898784    14      21    0    1    0 
-898548    19      29    0    0    0 
-898388    35     164    1    2    0 
-898340     4      52    2    2    0 
-898340     6     173    1    0    0 
-898321    33     139    3    1    0 
-897918    27    1545    0    0    0 
-897660     3      86    3    2    0 
-897183    22      54    0    0    0 
-897153     0      44    2    2    0 
-897135    11     435    3    1    0 
-897135    14      35    3    2    0 
-897097     4     264    2    2    0 
-896942    11    1321    3    1    0 
-896691    16      38    1    1    0 
-896691    17      58    3    2    0 
-896568    27      16    2    1    0 
-896552    30     252    1    0    0 
-896460    25      23    0    1    0 
-896317     8      52    1    2    0 
-896152    22      61    0    1    0 
-895586    31      57    3    2    0 
-895455    32     216    3    2    0 
-894960     3    1765    1    0    0 
-894677    15    1730    0    0    0 
-894064     7     341    1    0    0 
-893949     6    1926    0    1    0 
-893949     7    1962    0    2    0 
-893731    23      21    2    0    0 
-893482    18     811    3    1    0 
-893482    19      93    3    2    0 
-893186     9      60    3    1    0 
-892925     9     113    2    0    0 
-892169    17    1649    1    0    0 
-892169    21     363    0    2    0 
-892169    22     796    0    1    0 
-891988    15      62    3    0    0 
-891852     7      50    3    2    0 
-891640     5     367    0    2    0 
-891434     2     792    2    0    0 
-891434     2      58    3    1    0 
-891434     3      50    3    2    0 
-891434     3      32    3    0    0 
-891172    18     994    3    2    0 
-890644     6      76    1    0    0 
-890560    11      17    2    0    0 
-890316    27      32    1    0    0 
-890294    17    1840    3    0    0 
-890210    18     111    3    0    0 
-890193    10      21    2    1    0 
-890193    11      46    2    2    0 
-890131    32      33    3    1    0 
-890131    35      34    0    2    0 
-889706    12    1324    3    0    0 
-889356    22      62    3    0    0 
-889297    27    1899    0    2    0 
-889297    32     181    0    1    0 
-889160     8      46    1    2    0 
-888424    25      62    0    1    0 
-887977    17      95    1    1    0 
-887310    16    1312    1    1    0 
-887152    14      24    0    1    0 
-887098     4      30    0    0    0 
-886075    29      18    2    1    0 
-885616     5     165    1    1    0 
-885531    30      74    1    0    0 
-885462    35    1764    1    2    0 
-885421    15      59    1    0    0 
-885349    23     108    1    0    0 
-885187     0      25    0    0    0 
-884447     7    1591    2    1    0 
-884447    13      27    2    2    0 
-884447    13     591    2    0    0 
-884293    35      25    2    1    0 
-883896    24      27    2    2    0 
-883508    30     107    3    0    0 
-883477    34      41    2    0    0 
-882860    34      92    3    2    0 
-882639    21      35    1    2    0 
-882359    29      37    1    0    0 
-882317    11      83    2    1    0 
-882317    12      26    0    1    0 
-881738    20      85    0    1    0 
-881289    18     193    0    1    0 
-881269    17      51    0    0    0 
-880741     8     372    1    1    0 
-880226    23      41    0    0    0 
-880015    25      66    1    0    0 
-880015    25      33    0    2    0 
-879943    12     120    3    0    0 
-879578     3    1002    0    2    0 
-879318    10     189    3    1    0 
-878999    22     488    0    1    0 
-878811    12     256    3    0    0 
-878711     4    1658    2    1    0 
-878542    12      20    2    0    0 
-878542    12      72    2    1    0 
-878361    12    1610    2    2    0 
-878121    12      33    1    2    0 
-877837    13      40    0    1    0 
-877395    32    1634    3    1    0 
-877224    13      33    0    2    0 
-877115     9     103    2    0    0 
-877115     9    1216    2    1    0 
-877115    10      88    1    0    0 
-876712    23     623    1    1    0 
-875386    26      40    0    2    0 
-875303    13      19    2    2    0 
-875133    12      38    3    0    0 
-874929     1    1823    3    1    0 
-874929     2    1780    3    2    0 
-874929     2    1839    3    0    0 
-874929     6      45    1    2    0 
-874929     6      31    2    0    0 
-874929     6      68    1    0    0 
-874929     6      55    1    1    0 
-874794    31      26    2    2    0 
-874730    19      46    0    1    0 
-874410    34    1588    1    1    0 
-874246    19    1765    3    2    0 
-874246    23     196    3    1    0 
-873863    33     228    1    0    0 
-873690    14      85    2    2    0 
-873586     2     109    0    0    0 
-873586     2     578    2    2    0 
-873127     5    1466    2    1    0 
-873127     9     357    2    0    0 
-873127    10     905    2    2    0 
-873126     8     119    2    1    1 
-873077    32    1566    3    1    0 
-873076     2    1101    3    2    0 
-872216     5      50    0    0    0 
-871568    22    1727    1    2    0 
-871486    23      73    0    1    0 
-870926     8    2139    0    2    0 
-870926    13      30    0    1    0 
-870711     4     147    0    0    0 
-870688     0     103    3    1    0 
-870652     6      84    3    1    0 
-870171    19    1622    1    0    0 
-870171    24     130    0    2    0 
-869812     4     113    2    2    0 
-869812     5      66    0    0    0 
-869618     0      21    0    2    0 
-869618    19     493    3    0    0 
-869613    20     939    3    1    0 
-869613    20     750    3    2    0 
-869610    27     105    1    1    0 
-869371     9     104    2    2    0 
-869329    22      89    3    1    0 
-869202    20     377    3    0    0 
-868981    25      47    3    0    0 
-868981    26      75    0    1    0 
-868412    13     115    0    0    0 
-867531    35     101    1    2    0 
-867083    33      36    3    1    0 
-866397    26     137    0    2    0 
-866397    28      32    1    0    0 
-864755     4    1533    1    1    0 
-864755     9     712    1    0    0 
-864745     8     163    1    0    1 
-864601     7      39    0    2    0 
-864521    30     188    3    0    0 
-864489     2     192    1    2    0 
-864041    19      46    0    2    0 
-863871     1     638    0    2    0 
-863739    24      44    3    2    0 
-863736     2      33    0    0    0 
-863133     8     100    1    1    0 
